timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1649937460064,416,/index.html-261,200,OK,Full Transaction Thread Group 2-1,text,true,,19926,518,3,5,https://www.demoblaze.com/index.html,360,0,0
1649937460479,408,/addtocart-314,200,OK,Full Transaction Thread Group 2-1,text,true,,331,545,3,5,https://api.demoblaze.com/addtocart,408,0,0
1649937460887,510,cart/viewcart-332,200,OK,Full Transaction Thread Group 2-1,text,true,,866,487,4,6,https://api.demoblaze.com/viewcart,510,0,0
1649937461398,348,cart/view-339,200,OK,Full Transaction Thread Group 2-1,text,true,,776,449,4,6,https://api.demoblaze.com/view,348,0,0
1649937461747,348,cart/view-340,200,OK,Full Transaction Thread Group 2-1,text,true,,809,450,4,6,https://api.demoblaze.com/view,348,0,0
1649937462096,360,cart/view-341,200,OK,Full Transaction Thread Group 2-1,text,true,,781,450,4,5,https://api.demoblaze.com/view,359,0,0
1649937462456,351,cart/view-342,200,OK,Full Transaction Thread Group 2-1,text,true,,842,449,4,5,https://api.demoblaze.com/view,350,0,0
1649937462807,352,cart/view-343,200,OK,Full Transaction Thread Group 2-1,text,true,,888,450,5,6,https://api.demoblaze.com/view,352,0,0
1649937463160,1222,delete items/deleteitem-348,200,OK,Full Transaction Thread Group 2-1,text,true,,340,493,5,6,https://api.demoblaze.com/deleteitem,1222,0,0
1649937464382,402,delete items/view-374,200,OK,Full Transaction Thread Group 2-1,text,true,,679,449,5,6,https://api.demoblaze.com/view,401,0,0
1649937464784,350,delete items/view-373,200,OK,Full Transaction Thread Group 2-1,text,true,,750,450,6,7,https://api.demoblaze.com/view,350,0,0
1649937465134,600,delete items/view-372,200,OK,Full Transaction Thread Group 2-1,text,true,,837,450,6,7,https://api.demoblaze.com/view,600,0,0
1649937465736,447,delete items/view-370,200,OK,Full Transaction Thread Group 2-1,text,true,,473,476,6,7,https://api.demoblaze.com/view,447,0,0
1649937466183,348,delete items/view-378,200,OK,Full Transaction Thread Group 2-1,text,true,,659,450,6,7,https://api.demoblaze.com/view,348,0,0
1649937466531,585,delete items/deleteitem-381,200,OK,Full Transaction Thread Group 2-1,text,true,,340,493,7,8,https://api.demoblaze.com/deleteitem,585,0,0
1649937467117,381,delete items/viewcart-400,200,OK,Full Transaction Thread Group 2-1,text,true,,831,487,7,8,https://api.demoblaze.com/viewcart,381,0,0
1649937467498,356,delete items/view-405,200,OK,Full Transaction Thread Group 2-1,text,true,,888,449,7,8,https://api.demoblaze.com/view,355,0,0
1649937467854,441,delete items/view-406,200,OK,Full Transaction Thread Group 2-1,text,true,,888,450,7,8,https://api.demoblaze.com/view,440,0,0
1649937468295,356,delete items/view-404,200,OK,Full Transaction Thread Group 2-1,text,true,,782,450,7,8,https://api.demoblaze.com/view,356,0,0
1649937468651,628,place order/deletecart-411,200,OK,Full Transaction Thread Group 2-1,text,true,,340,466,8,9,https://api.demoblaze.com/deletecart,628,0,0
1649937468935,669,contact/imgs/Lumia_1520.jpg-564,200,OK,Send Message Thread Group 3-1,bin,true,,145538,432,1,8,https://www.demoblaze.com/imgs/Lumia_1520.jpg,545,0,0
1649937457090,13137,Transaction Controller,200,"Number of samples in transaction : 27, number of failing samples : 0",Full Transaction Thread Group 2-2,,true,,40794,12993,7,8,null,0,11,835
1649937457090,962,/login-151,200,OK,Full Transaction Thread Group 2-2,text,true,,682,485,2,4,https://api.demoblaze.com/login,962,0,269
1649937458053,351,/view-202,200,OK,Full Transaction Thread Group 2-2,text,true,,810,452,2,4,https://api.demoblaze.com/view,351,0,0
1649937458405,414,/addtocart-205,200,OK,Full Transaction Thread Group 2-2,text,true,,331,544,2,4,https://api.demoblaze.com/addtocart,414,0,0
